track_title,artist,album_title,duration,genre
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya (From ""Brahmastra"")",04:28,Resso Top 50
Pasoori,"Shae Gill, Ali Sethi",Pasoori,03:44,Resso Top 50
295,Sidhu Moose Wala,Moosetape,04:30,Resso Top 50
NO LOVE,Shubh,NO LOVE,02:50,Resso Top 50
The Last Ride,Sidhu Moose Wala,The Last Ride,04:22,Resso Top 50
As It Was,Harry Styles,As It Was,02:47,Resso Top 50
So High,Sidhu Moose Wala,So High,03:39,Resso Top 50
Chaand Baaliyan,Aditya A,Chaand Baaliyan,01:43,Resso Top 50
"Galliyan Returns (From ""Ek Villain Returns"")","Ankit Tiwari, Manoj Muntashir","Galliyan Returns (From ""Ek Villain Returns"")",05:50,Resso Top 50
Yet To Come,BTS,Proof,03:14,Resso Top 50
Excuses,"Gurinder Gill, Intense, AP Dhillon",Excuses,02:56,Resso Top 50
"Pathala Pathala (From ""Vikram"")","Anirudh, Kamal Haasan","Pathala Pathala (From ""Vikram"")",03:31,Resso Top 50
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),02:35,Resso Top 50
Levels (feat. Sunny Malton),"Sidhu Moose Wala, Sunny Malton",Levels (feat. Sunny Malton),03:49,Resso Top 50
Jhoom (R&B Mix),"Ali Zafar,Yousaf Sallauddin,Coke Studio",Jhoom,04:59,Resso Top 50
"Arabic Kuthu (From ""Beast"")","Anirudh, Jonita Gandhi","Arabic Kuthu - Halamithi Habibo (From ""Beast"")",04:40,Resso Top 50
Peaches,Diljit Dosanjh,Drive Thru,03:09,Resso Top 50
"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")","Pritam, Tanishk Bagchi, Neeraj Shridhar, Mellow D","Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")",03:32,Resso Top 50
DESIRES,"AP Dhillon, Gurinder Gill",HIDDEN GEMS,02:48,Resso Top 50
Same Beef,"Bohemia, Sidhu Moose Wala",Same Beef,04:50,Resso Top 50
Tauba (feat. Badshah),"Payal Dev, Badshah",Tauba (feat. Badshah),03:19,Resso Top 50
Mehabooba,Ananya Bhat,Kgf Chapter 2,03:32,Resso Top 50
Just Listen,"Sidhu Moose Wala, Sunny Malton",Just Listen,04:44,Resso Top 50
Tu Aake Dekhle,KING,The Carnival,04:30,Resso Top 50
"Maiyya Mainu (From ""Jersey"")","Sachet-Parampara, Sachet Tandon","Maiyya Mainu (From ""Jersey"")",03:52,Resso Top 50
Vikram (Title Track),Anirudh,Vikram (Original Motion Picture Soundtrack),03:39,Resso Top 50
Dhokha,"Arijit Singh, Manan Bhardwaj",Dhokha,04:05,Resso Top 50
Heat Waves,Glass Animals,Dreamland (+ Bonus Levels),03:59,Resso Top 50
"Srivalli (From ""Pushpa The Rise Part - 01"")","Javed Ali , Devi Sri Prasad","Srivalli (From ""Pushpa The Rise Part - 01"")",03:44,Resso Top 50
TERE TE,"AP Dhillon, Gurinder Gill",HIDDEN GEMS,01:54,Resso Top 50
"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")",03:50,Resso Top 50
"Beast Mode (From ""Beast"")",Anirudh,"Beast Mode (From ""Beast"")",03:40,Resso Top 50
"Doobey (From ""Gehraiyaan"")","OAFF, Savera, Lothika, Kausar Munir","Doobey (From ""Gehraiyaan"")",03:40,Resso Top 50
Bad Habits,Ed Sheeran,Bad Habits,03:51,Resso Top 50
Oo Antava Oo Oo Antava,Indravathi Chauhan,Pushpa - The Rise,03:43,Resso Top 50
"Ranjha (From ""Shershaah"")","Jasleen Royal, B Praak, Romy, Anvita Dutt","Ranjha (From ""Shershaah"")",03:49,Resso Top 50
Such Keh Raha Hai,K. K.,Rehnaa Hai Terre Dil Mein,05:29,Resso Top 50
Dhokebaaz,"Afsana Khan, Jaani",Dhokebaaz,04:25,Resso Top 50
Ektarfa,King,Ektarfa,03:51,Resso Top 50
"Kesariya Audio Teaser (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya Audio Teaser (From ""Brahmastra"")",00:45,Resso Top 50
No Lie,"Sean Paul, Dua Lipa",No Lie,03:41,Resso Top 50
"Hum Nashe Mein Toh Nahin (From ""Bhool Bhulaiyaa 2"")","Arijit Singh, Tulsi Kumar","Hum Nashe Mein Toh Nahin (From ""Bhool Bhulaiyaa 2"")",03:58,Resso Top 50
"Mann Bharryaa 2.0 (From ""Shershaah"")",B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",04:26,Resso Top 50
"Saami Saami (From ""Pushpa The Rise Part - 01"")","Sunidhi Chauhan, Devi Sri Prasad","Saami Saami (From ""Pushpa The Rise Part - 01"")",03:47,Resso Top 50
STAY,"The Kid LAROI, Justin Bieber",STAY,02:22,Resso Top 50
"Dil Ko Karaar Aaya (From ""Sukoon"")","Yasser Desai, Neha Kakkar, Rajat Nagpal","Dil Ko Karaar Aaya (From ""Sukoon"")",03:52,Resso Top 50
Meri Jaan,"Neeti Mohan, Sanjay Leela Bhansali",Gangubai Kathiawadi,03:58,Resso Top 50
Insane,"AP Dhillon, Shinda Kahlon, Gurinder Gill, Gminxr",Insane,03:26,Resso Top 50
love nwantiti (ah ah ah),Ckay,CKay The First,02:26,Resso Top 50
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Tamasha,05:41,Resso Top 50
Akhiyaan,Mitraz,Akhiyaan,03:12,Indian Indie Hot 30
Aankhon Se Batana,Dikshant,Aankhon Se Batana,03:41,Indian Indie Hot 30
Baarish Aa Jaave,Mitraz,Baarish Aa Jaave,02:38,Indian Indie Hot 30
Chaand Baaliyan,Aditya A,Chaand Baaliyan,01:43,Indian Indie Hot 30
Aziyat,Pratyush Dhiman,Aziyat,03:37,Indian Indie Hot 30
Tu Kahaan - 1 Min Music,"OAFF, Lothika",Tu Kahaan - 1 Min Music,01:00,Indian Indie Hot 30
Rangi Saari,"Kavita Seth, Kanishk Seth",Rangi Saari,03:34,Indian Indie Hot 30
Raaz Tera Mera,Akanksha Sethi,Raaz Tera Mera,03:29,Indian Indie Hot 30
Chidiya,Vilen,Chidiya,04:13,Indian Indie Hot 30
Baarishein,Anuv Jain,Baarishein,03:27,Indian Indie Hot 30
Alag Aasmaan,Anuv Jain,Alag Aasmaan,03:33,Indian Indie Hot 30
Baarish Ka Asar,Twin Strings,Baarish Ka Asar,04:06,Indian Indie Hot 30
Waqt Ki Baatein,Dream Note,Waqt Ki Baatein - Single,04:03,Indian Indie Hot 30
Woh Din,Yash Bafna,Woh Din,04:18,Indian Indie Hot 30
Tuta Pull Wahan,Deepak Rathore Project,Tuta Pull Wahan,05:13,Indian Indie Hot 30
Tera Nishaan,"Pina Colada Blues, Anumita Nadesan",Tera Nishaan,02:47,Indian Indie Hot 30
Chhodo Kalaiya,"Aditya A, Saiwariya",Chhodo Kalaiya,03:11,Indian Indie Hot 30
Intezaar,Lucky Ali,Intezaar,03:56,Indian Indie Hot 30
Tum Ho Meri Jaan,Dhruv Kapoor,Tum Ho Meri Jaan,03:12,Indian Indie Hot 30
kyun hota hai?,Tanmaya Bhatnagar,kyun hota hai?,03:30,Indian Indie Hot 30
Dil,Dream Note,Dil,03:08,Indian Indie Hot 30
Haaye,"Pina Colada Blues, Yash Narvekar",Haaye,02:59,Indian Indie Hot 30
Mehfooz,Aaditya Rakheja,Mehfooz,04:16,Indian Indie Hot 30
Aahista,Ankur Tewari,Aahista,03:49,Indian Indie Hot 30
Katputli Ke Dhaage,"Himonshu Parikh, Anumita Nadesan",Katputli Ke Dhaage,02:54,Indian Indie Hot 30
Sajni,The Yellow Diary,Sajni,04:58,Indian Indie Hot 30
Shehron Ke Raaz,Prateek Kuhad,Shehron Ke Raaz,02:32,Indian Indie Hot 30
Baaraat,"Ritviz, Nucleya",Baaraat,03:42,Indian Indie Hot 30
Tere Hi Hum,Prateek Kuhad,Tere Hi Hum,02:57,Indian Indie Hot 30
Udd Gaye,Ritviz,Ved,03:00,Indian Indie Hot 30
"Deva Deva (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya, Jonita Gandhi","Deva Deva (From ""Brahmastra"")",04:39,Hindi New Release Hot 30
"Coka 2.0 (From ""Liger"")","Jaani, Lijo George-Dj Chetas, Sukh-E Muzical Doctorz, Lisa Mishra","Coka 2.0 (From ""Liger"")",02:46,Hindi New Release Hot 30
"Tere Hawaale (From ""Laal Singh Chaddha"")","Pritam, Arijit Singh, Shilpa Rao","Tere Hawaale (From ""Laal Singh Chaddha"")",05:46,Hindi New Release Hot 30
Saiyyan Dil Mein Aana Re,"Shamshad Begum, Shruti Rane",Saiyyan Dil Mein Aana Re,02:56,Hindi New Release Hot 30
Waqt Ke Jungle,Armaan Malik,"Waqt Ke Jungle (From ""Do Baaraa"")",03:14,Hindi New Release Hot 30
"Dhaagon Se Baandhaa (From ""Raksha Bandhan"")","Himesh Reshammiya, Arijit Singh, Shreya Ghoshal","Dhaagon Se Baandhaa (From ""Raksha Bandhan"")",04:45,Hindi New Release Hot 30
Teri Galliyon Se,"Jubin Nautiyal, Meet Bros, Rashmi Virag",Teri Galliyon Se,04:54,Hindi New Release Hot 30
Awaara Ho,Shashwat Sachdev,Awaara Ho,03:29,Hindi New Release Hot 30
Tu Hi Bata,"Nikhita Gandhi , Siddhant Bhosle",Tu Hi Bata,02:47,Hindi New Release Hot 30
Duniya,"B Praak, Sunny Singh, Saiee Manjrekar",Duniya,03:50,Hindi New Release Hot 30
"Aafat (From ""Liger"")","Tanishk Bagchi, Rashmi Virag, Zahrah S Khan","Aafat (From ""Liger"")",02:44,Hindi New Release Hot 30
Dhoke Pyaar Ke,"B Praak, Rochak Kohli",Dhoke Pyaar Ke,04:19,Hindi New Release Hot 30
Chumma Chumma,"Nakash Aziz, Neeti Mohan, Aayush Sharma, Shakti Mohan",Chumma Chumma,03:09,Hindi New Release Hot 30
La Ilaaj,Arijit Singh,Darlings (Original Motion Picture Soundtrack),04:25,Hindi New Release Hot 30
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya (From ""Brahmastra"")",04:28,Hindi New Release Hot 30
Iss Baarish Mein - Neeti Mohan Version,Neeti Mohan,Iss Baarish Mein - Neeti Mohan Version,04:10,Hindi New Release Hot 30
Paparazzi Peeche,Tony Kakkar,Paparazzi Peeche,02:25,Hindi New Release Hot 30
Tu Hi Hai Sanam,"Pawandeep Rajan, Himesh Reshammiya",Tu Hi Hai Sanam,04:56,Hindi New Release Hot 30
"Kaveri Se Milne [From ""PS-1 (Hindi)""]","A.R. Rahman, Swagat Rathod, Pooja Tiwari","Kaveri Se Milne [From ""PS-1 (Hindi)""] (Original Motion Picture Soundtrack)",04:51,Hindi New Release Hot 30
Jaane De,"The RISH, Raghav Chaitanya",Jaane De,03:00,Hindi New Release Hot 30
Alvida,Adnan Sami,Alvida,04:56,Hindi New Release Hot 30
Haal Chaal,"Raj Pandit, Sukriti Kakar",Haal Chaal,03:12,Hindi New Release Hot 30
Rangrez,"Arjun Kanungo, Anurag Saikia",Rangrez,04:06,Hindi New Release Hot 30
Yaad,"Sonu Nigam, Mukund Suryawanshi, Saaveri Verma",Yaad,03:39,Hindi New Release Hot 30
Mashooka (feat. Rakul Preet Singh),"Asees Kaur, Tanishk Bagchi, Dev Negi, Viruss, Rakul Preet Singh",Mashooka (feat. Rakul Preet Singh),03:07,Hindi New Release Hot 30
Casanova (feat. Simar Kaur),"Yo Yo Honey Singh, Lil Pump, DJ Shadow Dubai, Simar Kaur",Casanova (feat. Simar Kaur),03:35,Hindi New Release Hot 30
"Kahani (Sonu's Version) [From ""Laal Singh Chaddha""]","Pritam, Sonu Nigam, Amitabh Bhattacharya","Kahani (Sonu's Version) [From ""Laal Singh Chaddha""]",04:58,Hindi New Release Hot 30
"Mor Mor (From ""Goodluck Jerry"")","Parag Chhabra, Raj Shekhar, Deedar Kaur, Gurlej Akhtar, Vivek Hariharan","Mor Mor (From ""Goodluck Jerry"")",02:59,Hindi New Release Hot 30
Pakki Wali Dosti,Saaj Bhatt,Pakki Wali Dosti,04:02,Hindi New Release Hot 30
"Dil (From ""Ek Villain Returns"")","Kaushik-Guddu, Raghav Chaitanya, Kunaal Vermaa","Dil (From ""Ek Villain Returns"")",05:09,Hindi New Release Hot 30
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya (From ""Brahmastra"")",04:28,Hindi Top 30
Halki Si Barsaat,Saaj Bhatt,Halki Si Barsaat,03:33,Hindi Top 30
"Ji Huzoor (From ""Shamshera"")","Aditya Narayan, Mithoon","Ji Huzoor (From ""Shamshera"")",04:10,Hindi Top 30
"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")","Pritam, Tanishk Bagchi, Neeraj Shridhar, Mellow D","Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")",03:32,Hindi Top 30
Iss Baarish Mein,"Yasser Desai, Neeti Mohan",Iss Baarish Mein,04:01,Hindi Top 30
Mehabooba,"Ravi Basrur, Ananya Bhat",KGF Chapter 2 (Original Motion Picture Soundtrack),03:34,Hindi Top 30
